guarantee_id,guarantee_code,store_id,klass_id,guarantee_contract_type,guarantee_pay_type,guarantee_status,guarantee_memo,guarantee_currency,guarantee_total,remaining_guarantee,min_guarantee_per_month,fixed_guarantee_per_month,guarantee_start_date,guarantee_end_date,max_deduction,max_deduction_per_month,deduction_start_date,deduction_end_date,created_by,updated_by,created_at,updated_at
2340,GUARANTEE_l0XQwe0neUkU6ZL,63ec9d3c120afd001549c1f3,63d8e6ca14fbab000ef59850,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,곽정은 2차 모듈 (2),KRW,4000000.00,4000000.00,,2000000.00,2022-11-30 15:00:00,2022-12-31 15:00:00,,1000000.00,2023-02-28 15:00:00,,,,2023-02-27 12:46:38,2023-02-27 12:46:38
2339,GUARANTEE_JBGMcSERJu8NzkF,63eb24996f85600015a63def,63d7575e628e01000eb4faca,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,곽정은 2차 모듈 (1),KRW,4000000.00,4000000.00,,2000000.00,2022-09-30 15:00:00,2022-10-31 15:00:00,,1000000.00,2023-02-28 15:00:00,,,,2023-02-27 12:46:37,2023-02-27 12:46:37
2338,GUARANTEE_hPBLV10sxX2Ob6k,6078153d0161f5000eb0413c,5f6d7706b59ca10014d37f31,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,1.00,0.00,,2000000.00,2023-01-31 15:00:00,2023-01-31 15:00:00,,1000000.00,2023-03-31 15:00:00,,,,2023-02-27 12:46:37,2023-02-27 12:46:37
2337,GUARANTEE_h0Y82KyGv8WF1Is,5d5b52f35775850c6ec3fed8,5d1dd456fd2c83e2ee15cb6d,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,5000000.00,1037871.00,,5000000.00,2022-11-30 15:00:00,2022-11-30 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:37,2023-02-27 12:46:37
2336,GUARANTEE_u80i8CumQxXJwUx,61b97d9f2547920013062d40,619cb688fb2652003b4c8fa9,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,11000000.00,9350000.00,,11000000.00,2022-11-30 15:00:00,2022-11-30 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:36,2023-02-27 12:46:36
2335,GUARANTEE_wBwqTH90D5fHbCs,608f5dbf60dd07001507daa8,6083d70330c8cb00153acb8b,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,9000000.00,7684929.00,,9000000.00,2022-11-30 15:00:00,2022-11-30 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:36,2023-02-27 12:46:36
2334,GUARANTEE_fmpqHA2byrGWDz9,62df45151b8f6100155ec612,62615f31d8314d000e0bb71d,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,1.00,0.00,,10000000.00,2023-01-31 15:00:00,2023-01-31 15:00:00,,5000000.00,2023-02-28 15:00:00,,,,2023-02-27 12:46:36,2023-02-27 12:46:36
2333,GUARANTEE_PIOMiya477eSSYq,63607680f32ef9000ed1777d,635a38946864140016b1cd6c,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,1.00,0.00,,10000000.00,2023-01-31 15:00:00,2023-01-31 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:36,2023-02-27 12:46:36
2332,GUARANTEE_P0zghrOnnMvK1IZ,5f154ba204363b18f53dd0e3,5efaab27f230744d01bcf92b,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,15000000.00,5998054.00,,15000000.00,2022-11-30 15:00:00,2022-11-30 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:35,2023-02-27 12:46:35
2331,GUARANTEE_gg2cLf0T1Ac9MBg,5faa8aef716d830013c5af6d,5f8d1db0d0957e000d2dec1c,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,7000000.00,5869099.00,,7000000.00,2022-11-30 15:00:00,2022-11-30 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:35,2023-02-27 12:46:35
2330,GUARANTEE_si7mPuMAbgA6isZ,639be6fb3ae018000fb25271,6374d81ff8d6d4000ec049f8,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,1.00,0.00,,5000000.00,2023-01-31 15:00:00,2023-01-31 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:35,2023-02-27 12:46:35
2329,GUARANTEE_ozNTScz8XGXPZfA,639acd95f194c9000e5f2f6b,638044114cd827000e7f423f,KLASS_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,1.00,0.00,,4000000.00,2023-01-31 15:00:00,2023-01-31 15:00:00,,,2023-01-31 15:00:00,,,,2023-02-27 12:46:34,2023-02-27 12:46:34
